Filename,Year,Age,Country Code,Country Name,World Region,Size,Mean Color,Variance,AgeClass
2021_6-9_1390_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(1049, 1483)",[90.51455806 70.65775516 62.16899118],[2977.10852583 1695.63394823 1747.87821381],2
2021_6-9_1524_MON_R_C.jpg,2021,6-9,MON,Unknown,Unknown,"(628, 874)",[149.51297388 154.74379272 173.9045333 ],[2003.0553346  2200.37046862 2741.31290108],2
2021_6-9_1431_TUR_R_C.jpg,2021,6-9,TUR,Turkey,W. Asia,"(1392, 1042)",[117.83926385 127.34427121 132.24093669],[2841.99414232 2970.25044133 4459.39447643],2
2021_6-9_1344_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(719, 1038)",[128.06873977 119.75526783  78.00068469],[2879.69761512 2362.76483464 1123.66368223],2
2021_6-9_1432_TUR_R_C.jpg,2021,6-9,TUR,Turkey,W. Asia,"(1030, 1453)",[127.98973065 129.65085962 124.88161019],[3765.21228604 3557.94731301 5280.36384085],2
2021_6-9_1340_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(723, 1030)",[75.79747412 69.84032953 64.26768051],[2684.8605141  2438.95003744 2572.75434588],2
2021_6-9_1499_TUR_R_C.jpg,2021,6-9,TUR,Turkey,W. Asia,"(884, 1233)",[ 87.68769014  89.25858921 103.00997732],[2675.85539988 2491.80946881 3433.35080946],2
2021_6-9_1437_MEX_R_C.jpg,2021,6-9,MEX,Mexico,Latin America and the Caribbean,"(1248, 949)",[169.11766603 167.38497845 155.44894339],[2951.74985502 2916.64218836 3355.8623202 ],2
2021_6-9_1430_TUR_R_C.jpg,2021,6-9,TUR,Turkey,W. Asia,"(969, 1355)",[139.10406437 127.24088134 130.50589302],[3805.89768206 5058.86055545 6884.1905576 ],2
2021_6-9_1420_TUR_R_C.jpg,2021,6-9,TUR,Turkey,W. Asia,"(627, 832)",[62.29956639 59.17408523 68.58189179],[3691.54530286 3249.30497144  980.33790636],2
2021_6-9_1426_TUR_R_C.jpg,2021,6-9,TUR,Turkey,W. Asia,"(1052, 1425)",[165.22027683 158.46108865 157.60956574],[4477.10311114 4766.10815501 5575.61175294],2
2021_6-9_1434_TUR_R_C.jpg,2021,6-9,TUR,Turkey,W. Asia,"(1050, 1377)",[131.35203583 135.29018778 145.37272815],[2875.81168304 3172.80938444 4699.21833554],2
2021_6-9_1422_TUR_R_C.jpg,2021,6-9,TUR,Turkey,W. Asia,"(630, 881)",[127.04060862 132.65993009 157.06917464],[2875.24700597 3234.76531205 4123.06210495],2
2021_6-9_1429_TUR_R_C.jpg,2021,6-9,TUR,Turkey,W. Asia,"(1037, 1479)",[163.99490586 141.45876407 123.57879226],[3600.47501485 3164.33474547 2977.28010667],2
2021_6-9_1423_TUR_R_C.jpg,2021,6-9,TUR,Turkey,W. Asia,"(648, 496)",[150.08815275 153.04363924 157.14774368],[3421.38563871 3621.26372684 3876.41990941],2
2021_6-9_1417_TUR_R_C.jpg,2021,6-9,TUR,Turkey,W. Asia,"(626, 877)",[162.36840849 162.91529721 166.83867272],[3288.38263213 3132.3903249  4420.4531867 ],2
2021_6-9_1397_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(1464, 1055)",[107.88456543  94.23955533  92.22908541],[3194.85301456 2705.67713141 2682.10987387],2
2021_6-9_1400_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(1043, 1470)",[95.49672321 93.64867957 73.67299131],[2714.65412959 1859.08827098 2306.35502747],2
2021_6-9_1319_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(675, 968)",[115.83194827  96.35256811 104.49504132],[3439.08832274 2240.95976062 3133.24486369],2
2021_6-9_1425_TUR_R_C.jpg,2021,6-9,TUR,Turkey,W. Asia,"(1034, 1409)",[129.75238965 136.15522759 147.22932296],[3205.35157025 3006.41816766 2958.28642393],2
